latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
50.78064,29.04217,330.67,0.47,0.39,2022-09-01,1106,N,VIIRS,n,2.0NRT,295.79,5,D
51.41233,30.15695,344.95,0.51,0.41,2022-09-01,1106,N,VIIRS,n,2.0NRT,296.03,8.18,D
51.41614,30.15601,349.29,0.51,0.41,2022-09-01,1106,N,VIIRS,n,2.0NRT,303.92,25.79,D
51.37405,29.55589,329.66,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,291.46,5.31,D
51.37331,29.54883,354.29,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,301.04,12.13,D
51.37256,29.54175,349.6,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,301.01,12.13,D
51.3742,29.556,329.37,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,290.17,9.52,D
51.37348,29.54893,355.86,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,302.13,9.52,D
51.37276,29.54184,352.29,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,302.23,13.1,D
51.3772,29.54795,345.02,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,301.37,13.31,D
51.37648,29.54086,339.14,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,298.26,8.74,D
51.39061,29.52987,325.42,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,293.49,8.06,D
51.39433,29.5289,351.87,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,299.73,8.06,D
51.3936,29.52183,331.84,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,295.33,5.75,D
51.46489,29.54686,330.97,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,295.45,9.82,D
51.46415,29.53975,344.86,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,298.7,9.82,D
51.46936,29.55302,330.5,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,293.04,5.17,D
51.46972,29.55236,327.92,0.49,0.4,2022-09-01,1106,N,VIIRS,n,2.0NRT,291.99,2.74,D
51.64429,26.77293,327.67,0.42,0.37,2022-09-01,1106,N,VIIRS,n,2.0NRT,299.82,1.94,D
51.66567,25.73263,332.54,0.4,0.37,2022-09-01,1106,N,VIIRS,n,2.0NRT,299.73,7.29,D
47.27861,32.72149,339.83,0.39,0.44,2022-09-01,1106,N,VIIRS,n,2.0NRT,301.85,2.87,D
51.75941,25.97288,300.86,0.46,0.63,2022-09-01,2318,N,VIIRS,n,2.0NRT,276.2,1.54,N
51.46968,29.55186,305.23,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,281.81,1.05,N
51.46948,29.55661,314.66,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,283.15,1.05,N
51.4652,29.53717,306.23,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,281.35,1.04,N
51.41658,30.16275,339.02,0.6,0.53,2022-09-01,2318,N,VIIRS,n,2.0NRT,282.16,8.77,N
51.39936,29.51993,301.14,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,279.88,1.2,N
51.39917,29.52465,309.35,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,281.01,1.19,N
51.39718,29.52153,318.22,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,283.17,2.14,N
51.39697,29.52625,318.3,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,284.71,1.8,N
51.39188,29.52566,297.52,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,282.96,0.78,N
51.39167,29.53038,298.18,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,282,0.78,N
51.37598,29.538,303.8,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,284.62,1.91,N
51.37577,29.54269,308,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,286.45,2.01,N
51.37556,29.54737,313.1,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,286.4,2.01,N
51.37536,29.55208,314.15,0.32,0.54,2022-09-01,2318,N,VIIRS,n,2.0NRT,285.94,2.24,N
51.37069,29.54208,328.12,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,284.77,4.06,N
51.37027,29.55152,330.65,0.32,0.54,2022-09-01,2318,N,VIIRS,n,2.0NRT,285.62,2.08,N
51.37089,29.53737,311.53,0.32,0.55,2022-09-01,2318,N,VIIRS,n,2.0NRT,283.56,2.37,N
51.37006,29.55624,315.87,0.32,0.54,2022-09-01,2318,N,VIIRS,n,2.0NRT,281.42,2.08,N
48.47971,38.77199,298.98,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,285.02,0.82,N
50.77925,29.04219,304.64,0.33,0.55,2022-09-01,2320,N,VIIRS,n,2.0NRT,274.19,0.7,N
50.12909,36.41861,315.03,0.49,0.4,2022-09-01,2320,N,VIIRS,n,2.0NRT,282.12,1.83,N
50.01394,34.07319,303.46,0.4,0.44,2022-09-01,2320,N,VIIRS,n,2.0NRT,280.02,0.6,N
48.48163,38.78396,308.4,0.41,0.37,2022-09-01,2320,N,VIIRS,n,2.0NRT,286.48,1.51,N
